pckt,date,size,port
0,Thu Nov 21 2019 23:45:30 GMT-0200 (GMT-02:00),10179566,3003
1,Thu Nov 21 2019 23:45:31 GMT-0200 (GMT-02:00),13114356,3003
2,Thu Nov 21 2019 23:45:32 GMT-0200 (GMT-02:00),9253391,3003
3,Thu Nov 21 2019 23:45:33 GMT-0200 (GMT-02:00),11382571,3003
4,Thu Nov 21 2019 23:45:34 GMT-0200 (GMT-02:00),9793729,3003
5,Thu Nov 21 2019 23:45:35 GMT-0200 (GMT-02:00),10133842,3003
6,Thu Nov 21 2019 23:45:36 GMT-0200 (GMT-02:00),9124075,3003
7,Thu Nov 21 2019 23:45:37 GMT-0200 (GMT-02:00),8726269,3003
8,Thu Nov 21 2019 23:45:38 GMT-0200 (GMT-02:00),8514650,3003
9,Thu Nov 21 2019 23:45:39 GMT-0200 (GMT-02:00),7919309,3003
10,Thu Nov 21 2019 23:45:40 GMT-0200 (GMT-02:00),8152803,3003
11,Thu Nov 21 2019 23:45:41 GMT-0200 (GMT-02:00),7485071,3003
12,Thu Nov 21 2019 23:45:42 GMT-0200 (GMT-02:00),7797682,3003
13,Thu Nov 21 2019 23:45:43 GMT-0200 (GMT-02:00),6840227,3003
14,Thu Nov 21 2019 23:45:44 GMT-0200 (GMT-02:00),7687615,3003
15,Thu Nov 21 2019 23:45:45 GMT-0200 (GMT-02:00),8111185,3003
16,Thu Nov 21 2019 23:45:46 GMT-0200 (GMT-02:00),11975904,3003
17,Thu Nov 21 2019 23:45:47 GMT-0200 (GMT-02:00),11646493,3003
18,Thu Nov 21 2019 23:45:48 GMT-0200 (GMT-02:00),12208820,3003
19,Thu Nov 21 2019 23:45:49 GMT-0200 (GMT-02:00),11335291,3003
20,Thu Nov 21 2019 23:45:50 GMT-0200 (GMT-02:00),12360388,3003
21,Thu Nov 21 2019 23:45:51 GMT-0200 (GMT-02:00),13059192,3003
22,Thu Nov 21 2019 23:45:52 GMT-0200 (GMT-02:00),11627964,3003
23,Thu Nov 21 2019 23:45:53 GMT-0200 (GMT-02:00),10841961,3003
24,Thu Nov 21 2019 23:45:54 GMT-0200 (GMT-02:00),11523613,3003
25,Thu Nov 21 2019 23:45:55 GMT-0200 (GMT-02:00),10298049,3003
26,Thu Nov 21 2019 23:45:56 GMT-0200 (GMT-02:00),10654933,3003
27,Thu Nov 21 2019 23:45:57 GMT-0200 (GMT-02:00),11979671,3003
28,Thu Nov 21 2019 23:45:58 GMT-0200 (GMT-02:00),12966207,3003
29,Thu Nov 21 2019 23:45:59 GMT-0200 (GMT-02:00),13328586,3003
